,Asuminen,Palvelut,t
2022-01-14 21:00:00,726.9546236198087,1452.5081324764358,-2179.4627560962444
2022-01-14 22:00:00,654.7747319128774,1343.4609753836105,-1998.2357072964878
2022-01-14 23:00:00,479.48070919604413,1317.2896576813323,-1796.7703668773765
2022-01-15 00:00:00,452.7603692955324,1325.3709551799095,-1778.131324475442
2022-01-15 01:00:00,464.9033677057575,1325.3709551799095,-1790.274322885667
2022-01-15 02:00:00,470.10750988156815,1390.4198364157337,-1860.5273462973018
2022-01-15 03:00:00,506.5365051122432,1487.9931582694694,-1994.5296633817127
2022-01-15 04:00:00,622.7623470386826,1862.0242253754561,-2484.786572414139
2022-01-15 05:00:00,884.704169887822,2183.2030764773363,-3067.9072463651582
2022-01-15 06:00:00,863.8876011845791,2236.0552924814433,-3099.9428936660224
2022-01-15 07:00:00,811.846179426472,2118.1541952415123,-2930.000374667984
2022-01-15 08:00:00,832.6627481297148,2040.9086487739717,-2873.5713969036865
2022-01-15 09:00:00,823.989177836697,1955.5319921519526,-2779.5211699886495
2022-01-15 10:00:00,803.1726091334541,1902.679776147846,-2705.8523852813
2022-01-15 11:00:00,782.3560404302112,1817.3031195258272,-2599.6591599560384
2022-01-15 12:00:00,778.8866123130042,1744.1231281355256,-2523.0097404485296
2022-01-15 13:00:00,761.5394717269684,1719.7297976720915,-2481.26926939906
2022-01-15 14:00:00,759.8047576683648,1654.6809164362678,-2414.4856741046324
2022-01-15 15:00:00,768.4783279613827,1679.0742468997018,-2447.5525748610844
2022-01-15 16:00:00,799.7031810162471,1691.2709121314185,-2490.9740931476654
2022-01-15 17:00:00,823.989177836697,1675.0086918224627,-2498.9978696591597
